"RunId","OriginalPath","QuarantinePath","MovedAtUtc"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-WebFileName.ps1","2026-08-05T11:44:46.4721649Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Get-WebHeaders.ps1","2026-08-05T11:44:46.5455598Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-BinFile.ps1","2026-08-05T11:44:46.6275631Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyEnvironmentVariable.ps1","2026-08-05T11:44:46.8113422Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyExplorerMenuItem.ps1","2026-08-05T11:44:46.9619290Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyFileAssociation.ps1","2026-08-05T11:44:47.0891381Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyInstallPackage.ps1","2026-08-05T11:44:47.1597157Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyPackage.ps1","2026-08-05T11:44:47.2355292Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyPath.ps1","2026-08-05T11:44:47.2873826Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyPinnedTaskBarItem.ps1","2026-08-05T11:44:47.5130711Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyPowershellCommand.ps1","2026-08-05T11:44:47.6069474Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyShortcut.ps1","2026-08-05T11:44:47.7359268Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_functions_Install-ChocolateyVsixPackage.ps1","2026-08-05T11:44:47.8058893Z"
